City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,chernyshevskiy,63.0128,112.4714,-33.58,100,99,1.14,RU,1702317829
149,hamilton,39.1834,-84.5333,3.84,71,40,3.6,US,1702317829
150,klyuchi,52.2667,79.1667,-24.34,88,65,5.65,RU,1702317830
151,shenkursk,62.1091,42.896,-11.83,94,100,3.95,RU,1702317830
152,yatsuomachi-higashikumisaka,36.5667,137.1333,12.59,85,100,0.89,JP,1702317830
153,subtanjalla,-14.0189,-75.7581,32.65,30,7,5.5,PE,1702317830
154,pekanbaru,0.5333,101.45,25.18,100,40,0.0,ID,1702317830
155,nagqu,31.5,92.0,-16.54,51,4,1.95,CN,1702317830
156,hirara,24.8,125.2833,23.92,100,20,1.54,JP,1702317831
157,bay roberts,47.5999,-53.2648,11.07,97,100,3.58,CA,1702317831
158,mount gambier,-37.8333,140.7667,17.36,79,100,3.67,AU,1702317831
159,kone,-21.0595,164.8658,21.32,78,92,1.69,NC,1702317831
160,rikaze,29.25,88.8833,-2.39,47,1,0.96,CN,1702317831
161,kodiak,57.79,-152.4072,-0.27,64,0,3.09,US,1702317831
162,polyarnyy,69.1989,33.4478,-13.93,91,95,7.08,RU,1702317831
163,san mariano,7.5,126.0,21.15,93,54,1.18,PH,1702317832
164,mana,5.6592,-53.7767,28.67,72,41,4.61,GF,1702317832
165,grand rapids,42.9634,-85.6681,1.23,79,100,3.6,US,1702317562
166,puerto ayora,-0.7393,-90.3518,26.98,76,48,4.19,EC,1702317832
167,barcelos,41.5388,-8.6151,17.08,88,100,3.74,PT,1702317832
168,sinabang,2.4803,96.3801,25.8,84,70,1.2,ID,1702317832
169,bilibino,68.0546,166.4372,-15.6,94,100,1.56,RU,1702317832
170,tura,25.5198,90.2201,14.77,86,0,1.29,IN,1702317833
171,longyearbyen,78.2186,15.6401,-5.09,68,75,6.17,SJ,1702317833
172,mezhdurechenskiy,59.6,65.9333,-32.07,97,12,1.77,RU,1702317833
173,dhuusamarreeb,5.535,46.3861,28.27,50,98,6.58,SO,1702317833
174,qarqaraly,49.4058,75.4742,-26.2,96,100,5.84,KZ,1702317834
175,saipan,15.1355,145.701,27.39,83,20,4.63,MP,1702317834
176,walvis bay,-22.9575,14.5053,17.53,77,19,3.6,NA,1702317834
177,suntar,62.1444,117.6319,-29.77,97,99,2.53,RU,1702317834
178,grantsville,40.5999,-112.4644,6.46,63,0,0.0,US,1702317835
179,sandnessjoen,66.0217,12.6316,-5.88,73,0,1.03,NO,1702317680
180,daru,-9.0763,143.2092,24.57,91,90,3.64,PG,1702317835
181,afaahiti,-17.75,-149.2833,26.93,82,70,10.78,PF,1702317835
182,badger,64.8,-147.5333,-9.07,79,100,0.0,US,1702317835
183,new norfolk,-42.7826,147.0587,9.84,97,92,0.86,AU,1702317835
184,verkhnevilyuysk,63.4453,120.3167,-28.03,97,100,2.67,RU,1702317836
185,tafuna,-14.3358,-170.72,26.97,100,100,11.83,AS,1702317836
186,moroto,2.5345,34.6666,25.6,44,86,6.1,UG,1702317836
187,ulladulla,-35.35,150.4667,22.09,97,86,2.27,AU,1702317836
188,kingston,17.997,-76.7936,31.53,58,40,6.17,JM,1702317601
189,zhuanghe,39.7008,122.9911,-12.69,79,95,4.1,CN,1702317836
190,seguin,29.5688,-97.9647,17.67,31,0,4.12,US,1702317791
191,aleksandrov gay,50.147,48.5704,-10.88,55,95,8.91,RU,1702317837
192,richards bay,-28.783,32.0377,19.84,97,100,1.13,ZA,1702317837
193,boca suno,-0.7167,-77.1333,28.77,58,89,0.28,EC,1702317588
194,carnarvon,-24.8667,113.6333,23.98,72,0,5.4,AU,1702317837
195,bonthe,7.5264,-12.505,28.44,72,96,3.74,SL,1702317837
196,queenstown,-31.8976,26.8753,18.81,59,77,0.52,ZA,1702317668
197,gadzhiyevo,69.2551,33.3362,-9.48,91,100,12.38,RU,1702317837
198,keminmaa,65.8596,24.8228,-13.13,85,0,2.06,FI,1702317837
199,ranong,9.9658,98.6348,26.17,81,73,2.94,TH,1702317838
200,vorkuta,67.5,64.0,-22.14,97,100,3.93,RU,1702317838
201,watford city,47.8022,-103.2832,0.25,74,100,5.14,US,1702317838
202,corral de bustos,-33.2821,-62.1846,33.07,21,3,7.87,AR,1702317838
203,hami,42.8,93.45,-2.08,52,89,1.46,CN,1702317838
204,port isabel,26.0734,-97.2086,20.04,45,0,4.63,US,1702317838
205,cercado abajo,18.7268,-71.5174,28.27,51,2,0.68,DO,1702317838
206,kavaratti,10.5669,72.642,28.6,72,70,1.62,IN,1702317839
207,enewetak,11.3474,162.3373,27.69,78,33,8.59,MH,1702317839
208,khandyga,62.6667,135.6,-33.61,97,100,0.73,RU,1702317839
209,iqaluit,63.7506,-68.5145,-16.15,72,75,8.23,CA,1702317839
210,wewak,-3.5534,143.6268,25.79,91,63,2.37,PG,1702317839
211,kudahuvadhoo,2.6708,72.8944,28.43,73,46,3.41,MV,1702317839
212,sanming,26.2486,117.6186,18.56,96,51,1.29,CN,1702317839
213,sitka,57.0531,-135.33,5.94,75,100,7.2,US,1702317840
214,castro,-24.7911,-50.0119,24.04,66,59,2.62,BR,1702317657
215,qujing,25.4833,103.7833,8.08,78,0,1.56,CN,1702317840
216,karratha,-20.7377,116.8463,25.41,50,0,4.11,AU,1702317840
217,callao,-12.0667,-77.15,23.16,64,0,4.63,PE,1702317521
218,kapa'a,22.0752,-159.319,25.18,90,100,2.57,US,1702317840
219,nabire,-3.3667,135.4833,24.44,94,100,1.32,ID,1702317840
220,lihue,21.9789,-159.3672,24.77,87,100,2.57,US,1702317585
221,hasaki,35.7333,140.8333,11.27,91,100,4.82,JP,1702317841
222,turar ryskulov,42.5333,70.3333,-5.6,97,100,1.37,KZ,1702317841
223,kismayo,-0.3582,42.5454,27.32,81,100,4.12,SO,1702317656
224,hailey,43.5196,-114.3153,0.44,81,100,3.09,US,1702317841
225,blackwater,-23.5833,148.8833,21.74,81,66,6.22,AU,1702317842
226,newman,37.3138,-121.0208,10.58,62,20,1.34,US,1702317842
227,cidreira,-30.1811,-50.2056,22.78,73,15,5.24,BR,1702317843
